map:159
grid15	-7060.0	3532.0
grid15	-7060.0	3531.0
grid15	-7060.0	3529.0
NA	NA	NA
grid16	-7134.0	3624.0
grid16	-7119.0	3628.0
grid16	-7119.0	3628.0
grid16	-7116.0	3628.0
grid16	-7114.0	3625.0
grid16	-7107.0	3620.0
grid16	-7106.0	3618.0
grid16	-7104.0	3617.0
grid16	-7097.0	3614.0
grid16	-7096.0	3614.0
grid16	-7094.0	3612.0
grid16	-7092.0	3609.0
grid16	-7091.0	3607.0
grid16	-7092.0	3603.0
grid16	-7092.0	3602.0
grid16	-7092.0	3600.0
grid16	-7089.0	3596.0
grid16	-7087.0	3596.0
grid16	-7087.0	3595.0
grid16	-7087.0	3594.0
grid16	-7086.0	3593.0
grid16	-7084.0	3588.0
grid16	-7083.0	3584.0
grid16	-7106.0	3576.0
grid16	-7109.0	3575.0
grid16	-7113.0	3574.0
grid16	-7114.0	3577.0
grid16	-7115.0	3580.0
grid16	-7117.0	3584.0
grid16	-7121.0	3586.0
grid16	-7124.0	3587.0
grid16	-7127.0	3588.0
grid16	-7130.0	3587.0
grid16	-7127.0	3589.0
grid16	-7125.0	3600.0
grid16	-7130.0	3608.0
grid16	-7131.0	3609.0
grid16	-7130.0	3614.0
grid16	-7136.0	3618.0
grid16	-7134.0	3624.0
NA	NA	NA
grid17	-7160.0	3650.0
grid17	-7156.0	3663.0
grid17	-7157.0	3677.0
grid17	-7153.0	3693.0
grid17	-7154.0	3697.0
grid17	-7146.0	3698.0
grid17	-7141.0	3693.0
grid17	-7140.0	3693.0
grid17	-7137.0	3693.0
grid17	-7132.0	3693.0
grid17	-7128.0	3695.0
grid17	-7127.0	3696.0
grid17	-7124.0	3696.0
grid17	-7123.0	3696.0
grid17	-7119.0	3695.0
grid17	-7119.0	3693.0
grid17	-7116.0	3691.0
grid17	-7113.0	3692.0
grid17	-7111.0	3690.0
grid17	-7112.0	3687.0
grid17	-7111.0	3685.0
grid17	-7109.0	3682.0
grid17	-7104.0	3679.0
grid17	-7100.0	3677.0
grid17	-7093.0	3672.0
grid17	-7112.0	3658.0
grid17	-7115.0	3661.0
grid17	-7120.0	3663.0
grid17	-7128.0	3659.0
grid17	-7140.0	3659.0
grid17	-7145.0	3656.0
grid17	-7145.0	3647.0
grid17	-7152.0	3648.0
grid17	-7155.0	3648.0
grid17	-7157.0	3649.0
grid17	-7159.0	3649.0
grid17	-7160.0	3650.0
NA	NA	NA
grid18	-7300.0	3717.0
grid18	-7298.0	3713.0
grid18	-7297.0	3712.0
grid18	-7294.0	3708.0
grid18	-7293.0	3706.0
grid18	-7292.0	3705.0
grid18	-7290.0	3694.0
grid18	-7290.0	3693.0
grid18	-7291.0	3692.0
grid18	-7291.0	3691.0
grid18	-7290.0	3690.0
grid18	-7290.0	3688.0
grid18	-7312.0	3689.0
grid18	-7318.0	3689.0
grid18	-7318.0	3691.0
grid18	-7317.0	3694.0
grid18	-7316.0	3696.0
grid18	-7314.0	3698.0
grid18	-7313.0	3698.0
grid18	-7314.0	3699.0
grid18	-7315.0	3699.0
grid18	-7312.0	3702.0
grid18	-7310.0	3703.0
grid18	-7309.0	3705.0
grid18	-7309.0	3706.0
grid18	-7308.0	3708.0
grid18	-7305.0	3708.0
grid18	-7305.0	3711.0
grid18	-7303.0	3713.0
grid18	-7300.0	3717.0
NA	NA	NA
grid19	-7352.0	3513.0
grid19	-7347.0	3513.0
grid19	-7347.0	3513.0
grid19	-7346.0	3511.0
grid19	-7346.0	3509.0
grid19	-7346.0	3505.0
grid19	-7347.0	3503.0
grid19	-7346.0	3501.0
grid19	-7345.0	3500.0
grid19	-7345.0	3497.0
grid19	-7342.0	3494.0
grid19	-7344.0	3492.0
grid19	-7346.0	3493.0
grid19	-7346.0	3494.0
grid19	-7347.0	3494.0
grid19	-7348.0	3492.0
grid19	-7350.0	3492.0
grid19	-7350.0	3491.0
grid19	-7351.0	3491.0
grid19	-7351.0	3491.0
grid19	-7352.0	3491.0
grid19	-7353.0	3491.0
grid19	-7353.0	3491.0
grid19	-7354.0	3492.0
grid19	-7363.0	3491.0
grid19	-7375.0	3492.0
grid19	-7376.0	3493.0
grid19	-7376.0	3494.0
grid19	-7377.0	3495.0
grid19	-7377.0	3496.0
grid19	-7377.0	3496.0
grid19	-7377.0	3496.0
grid19	-7377.0	3500.0
grid19	-7377.0	3500.0
grid19	-7378.0	3499.0
grid19	-7378.0	3499.0
grid19	-7378.0	3500.0
grid19	-7378.0	3501.0
grid19	-7378.0	3501.0
grid19	-7378.0	3503.0
grid19	-7378.0	3503.0
grid19	-7378.0	3506.0
grid19	-7378.0	3506.0
grid19	-7378.0	3507.0
grid19	-7378.0	3507.0
grid19	-7380.0	3507.0
grid19	-7380.0	3511.0
grid19	-7379.0	3512.0
grid19	-7378.0	3513.0
grid19	-7365.0	3513.0
grid19	-7364.0	3515.0
grid19	-7363.0	3515.0
grid19	-7362.0	3515.0
grid19	-7361.0	3514.0
grid19	-7361.0	3514.0
grid19	-7360.0	3514.0
grid19	-7359.0	3514.0
grid19	-7358.0	3514.0
grid19	-7357.0	3514.0
grid19	-7356.0	3514.0
grid19	-7356.0	3513.0
grid19	-7352.0	3513.0
NA	NA	NA
grid20	-7086.0	3449.0
grid20	-7083.0	3451.0
grid20	-7083.0	3452.0
grid20	-7082.0	3457.0
grid20	-7081.0	3458.0
grid20	-7080.0	3457.0
grid20	-7080.0	3455.0
grid20	-7080.0	3452.0
grid20	-7080.0	3449.0
grid20	-7082.0	3447.0
grid20	-7083.0	3447.0
grid20	-7085.0	3446.0
grid20	-7086.0	3445.0
grid20	-7088.0	3445.0
grid20	-7089.0	3444.0
grid20	-7089.0	3442.0
grid20	-7088.0	3441.0
grid20	-7086.0	3442.0
grid20	-7085.0	3442.0
grid20	-7084.0	3441.0
grid20	-7084.0	3439.0
grid20	-7087.0	3437.0
grid20	-7088.0	3434.0
grid20	-7089.0	3432.0
grid20	-7089.0	3430.0
grid20	-7090.0	3428.0
grid20	-7090.0	3426.0
grid20	-7090.0	3424.0
grid20	-7087.0	3421.0
grid20	-7087.0	3419.0
grid20	-7089.0	3415.0
grid20	-7093.0	3414.0
grid20	-7097.0	3414.0
grid20	-7100.0	3415.0
grid20	-7102.0	3417.0
grid20	-7103.0	3417.0
grid20	-7105.0	3416.0
grid20	-7109.0	3419.0
grid20	-7110.0	3420.0
grid20	-7112.0	3419.0
grid20	-7115.0	3422.0
grid20	-7118.0	3422.0
grid20	-7121.0	3424.0
grid20	-7123.0	3426.0
grid20	-7126.0	3426.0
grid20	-7126.0	3430.0
grid20	-7124.0	3434.0
grid20	-7125.0	3435.0
grid20	-7125.0	3437.0
grid20	-7124.0	3440.0
grid20	-7124.0	3441.0
